clean_label,aggre_label,worse_label,random_label1,random_label2,random_label3,img_index
6,6,4,6,4,6,0
9,9,9,9,9,9,1
9,9,0,9,9,0,2
4,4,5,4,5,4,3
1,1,1,1,1,1,4
1,1,9,1,1,9,5
2,2,2,2,2,2,6
7,7,4,7,7,4,7
8,8,8,8,8,8,8
3,0,8,3,0,8,9
4,4,6,6,4,4,10
7,7,0,0,7,7,11
7,7,0,0,7,7,12
2,2,2,2,2,2,13
9,9,9,9,9,9,14
9,9,9,9,9,9,15
9,9,9,9,9,9,16
3,3,5,5,3,3,17
2,2,2,2,2,2,18
6,6,6,6,6,6,19
4,4,8,4,8,4,20
3,3,6,3,3,6,21
6,6,0,6,6,0,22
6,6,6,6,6,6,23
2,2,2,2,2,2,24
6,6,2,6,2,6,25
3,3,3,3,3,3,26
5,5,5,5,5,5,27
4,4,4,4,4,4,28
0,0,6,0,0,6,29
0,0,0,0,0,0,30
9,9,9,9,9,9,31
1,1,1,1,1,1,32
3,3,5,5,3,3,33
4,4,4,4,4,4,34
0,0,0,0,0,0,35
3,3,3,3,3,3,36
7,7,7,7,7,7,37
3,3,5,3,5,3,38
3,0,0,3,6,0,39
5,5,3,3,5,5,40
2,2,2,2,2,2,41
2,2,2,2,2,2,42
7,7,7,7,7,7,43
1,1,1,1,1,1,44
1,1,1,1,1,1,45
1,1,1,1,1,1,46
2,2,7,7,2,2,47
2,2,2,2,2,2,48
0,0,0,0,0,0,49
9,9,2,9,2,9,50
5,5,9,5,5,9,51
7,7,5,5,7,7,52
9,9,9,9,9,9,53
2,2,7,2,2,7,54
2,2,2,2,2,2,55
5,5,3,3,5,5,56
2,2,2,2,2,2,57
4,4,7,7,4,4,58
3,3,3,3,3,3,59
1,1,9,1,9,1,60
1,1,9,9,1,1,61
8,8,8,8,8,8,62
2,2,2,2,2,2,63
1,1,1,1,1,1,64
1,1,9,1,9,1,65
4,4,7,4,4,7,66
9,0,1,0,1,9,67
7,0,5,0,5,7,68
8,8,0,0,8,8,69
5,3,3,3,3,3,70
9,9,8,9,9,8,71
6,8,3,8,2,3,72
7,7,1,1,7,7,73
3,2,2,3,2,2,74
1,9,3,9,1,3,75
9,9,9,9,9,9,76
0,0,0,0,0,0,77
3,3,5,3,3,5,78
1,1,1,1,1,1,79
3,3,3,3,3,3,80
5,5,1,5,5,1,81
4,4,6,4,4,6,82
5,5,7,5,7,5,83
7,7,5,7,5,7,84
7,7,9,9,7,7,85
4,4,4,4,4,4,86
7,7,7,7,7,7,87
9,9,1,1,9,9,88
4,2,8,2,2,8,89
2,2,2,2,2,2,90
3,3,4,4,3,3,91
8,8,8,8,8,8,92
0,0,0,0,0,0,93
1,1,1,1,1,1,94
6,6,6,6,6,6,95
1,1,1,1,1,1,96
1,9,9,9,1,9,97
4,4,4,4,4,4,98
1,1,1,1,1,1,99
8,8,8,8,8,8,100
3,3,3,3,3,3,101
9,9,0,9,0,9,102
6,6,6,6,6,6,103
6,6,7,6,7,6,104
1,1,1,1,1,1,105
8,8,8,8,8,8,106
5,2,6,2,6,5,107
2,2,2,2,2,2,108
9,9,9,9,9,9,109
9,9,1,9,9,1,110
8,8,9,8,9,8,111
1,1,1,1,1,1,112
7,7,2,7,7,2,113
7,7,7,7,7,7,114
0,0,0,0,0,0,115
0,0,0,0,0,0,116
