task,worker,label,source
0,198,6,random_label1
0,385,4,random_label2
0,197,6,random_label3
1,198,9,random_label1
1,385,9,random_label2
1,197,9,random_label3
2,198,9,random_label1
2,385,9,random_label2
2,197,0,random_label3
3,198,4,random_label1
3,385,5,random_label2
3,197,4,random_label3
4,198,1,random_label1
4,385,1,random_label2
4,197,1,random_label3
5,198,1,random_label1
5,385,1,random_label2
5,197,9,random_label3
6,198,2,random_label1
6,385,2,random_label2
6,197,2,random_label3
7,198,7,random_label1
7,385,7,random_label2
7,197,4,random_label3
8,198,8,random_label1
8,385,8,random_label2
8,197,8,random_label3
9,198,3,random_label1
9,385,0,random_label2
9,197,8,random_label3
10,430,6,random_label1
10,140,4,random_label2
10,584,4,random_label3
11,430,0,random_label1
11,140,7,random_label2
11,584,7,random_label3
12,430,0,random_label1
12,140,7,random_label2
12,584,7,random_label3
13,430,2,random_label1
13,140,2,random_label2
13,584,2,random_label3
14,430,9,random_label1
14,140,9,random_label2
14,584,9,random_label3
15,430,9,random_label1
15,140,9,random_label2
15,584,9,random_label3
16,430,9,random_label1
16,140,9,random_label2
16,584,9,random_label3
17,430,5,random_label1
17,140,3,random_label2
17,584,3,random_label3
18,430,2,random_label1
18,140,2,random_label2
18,584,2,random_label3
19,430,6,random_label1
19,140,6,random_label2
19,584,6,random_label3
20,601,4,random_label1
20,430,8,random_label2
20,631,4,random_label3
21,601,3,random_label1
21,430,3,random_label2
21,631,6,random_label3
22,601,6,random_label1
22,430,6,random_label2
22,631,0,random_label3
23,601,6,random_label1
23,430,6,random_label2
23,631,6,random_label3
24,601,2,random_label1
24,430,2,random_label2
24,631,2,random_label3
25,601,6,random_label1
25,430,2,random_label2
25,631,6,random_label3
26,601,3,random_label1
26,430,3,random_label2
26,631,3,random_label3
27,601,5,random_label1
27,430,5,random_label2
27,631,5,random_label3
28,601,4,random_label1
28,430,4,random_label2
28,631,4,random_label3
29,601,0,random_label1
29,430,0,random_label2
29,631,6,random_label3
30,545,0,random_label1
30,79,0,random_label2
30,385,0,random_label3
31,545,9,random_label1
31,79,9,random_label2
31,385,9,random_label3
32,545,1,random_label1
32,79,1,random_label2
32,385,1,random_label3
33,545,5,random_label1
33,79,3,random_label2
33,385,3,random_label3
34,545,4,random_label1
34,79,4,random_label2
34,385,4,random_label3
35,545,0,random_label1
35,79,0,random_label2
35,385,0,random_label3
36,545,3,random_label1
36,79,3,random_label2
36,385,3,random_label3
37,545,7,random_label1
37,79,7,random_label2
37,385,7,random_label3
38,545,3,random_label1
38,79,5,random_label2
38,385,3,random_label3
39,545,3,random_label1
39,79,6,random_label2
39,385,0,random_label3
40,631,3,random_label1
40,373,5,random_label2
40,177,5,random_label3
41,631,2,random_label1
41,373,2,random_label2
41,177,2,random_label3
42,631,2,random_label1
42,373,2,random_label2
42,177,2,random_label3
43,631,7,random_label1
43,373,7,random_label2
43,177,7,random_label3
44,631,1,random_label1
44,373,1,random_label2
44,177,1,random_label3
45,631,1,random_label1
45,373,1,random_label2
45,177,1,random_label3
46,631,1,random_label1
46,373,1,random_label2
46,177,1,random_label3
47,631,7,random_label1
47,373,2,random_label2
47,177,2,random_label3
48,631,2,random_label1
48,373,2,random_label2
48,177,2,random_label3
49,631,0,random_label1
49,373,0,random_label2
49,177,0,random_label3
50,583,9,random_label1
50,162,2,random_label2
50,54,9,random_label3
51,583,5,random_label1
51,162,5,random_label2
51,54,9,random_label3
52,583,5,random_label1
52,162,7,random_label2
52,54,7,random_label3
53,583,9,random_label1
53,162,9,random_label2
53,54,9,random_label3
54,583,2,random_label1
54,162,2,random_label2
54,54,7,random_label3
55,583,2,random_label1
55,162,2,random_label2
55,54,2,random_label3
56,583,3,random_label1
56,162,5,random_label2
56,54,5,random_label3
57,583,2,random_label1
57,162,2,random_label2
57,54,2,random_label3
58,583,7,random_label1
58,162,4,random_label2
58,54,4,random_label3
59,583,3,random_label1
59,162,3,random_label2
59,54,3,random_label3
60,206,1,random_label1
60,165,9,random_label2
60,54,1,random_label3
61,206,9,random_label1
